model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS
yolov11n,45.1,34.4,34.2,19.8,2584102,6.3
RSS_YOLO,54.0,42.6,44.8,27.5,2568694,20.4

1.5倍剪枝,
1.5_1,,1.73,17.45
1.5_2,,1.58,15.67
1.5_3,,1.49,14.52
1.5_4,,1.42,13.64
fine_1.5,52.6,40.5,42.4,25.4,1.42,13.64
fined_1.5,51.8,40.5,42.4,22.5,1.43,13.7



2倍剪枝,
2_1,,1.73,17.45
2_2,,1.49,14.52
2_3,,1.26,11.48
2_4,,1.11,9.5
fine_2,50.1,39.5,39.9,23.5,1.11,9.5
fined_2,48.5,37.9,38.5,22.8,1.1,9.5

2.5倍剪枝,
2.5_1,,
2.5_2,,
2.5_3,,
2.5_4,,1.02,8.18
fine_2.5,50.1,28.2,38.8,22.8,1.02,8.18
fined_2.5,46.0,37.0,36.9,21.5,1.04,8.22


3倍剪枝,
3_1,
3_2,
3_3,
3_4,0.95,7.28
fine_3,47.0,37.2,37.1,21.70.95,7.28
fined_3,45.5,35.9,35.1,20.3,1.1,7.21

