model,Precision(%),Recall(%),mAP@0.5(%),mAP@0.5:0.95(%),params,GFLOPS
yolov11n,38.9,30.5,28.1,15.7,2584102,6.3
RFD(-1),40.9,30.6,28.4,15.9,2483590,6.2
RFD,40.8,31.5,29.3,16.5,2483822,6.4
SACSP,

SFPN1,42.6,33.4,31.5,17.9,2006398,12.2
SFPN2,43.7,33.3,31.9,18.3,2208574,15.2
SFPN3,
SFPN4,

SNAIOU,37.9,30.7,27.8,15.3
D_InterpIoU,38.3,30.9,28.1,15.9
WIOU,38.6,30.3,27.4,15.0

RFD+SACSP,
RFD+SACSP+SFPN,46.9,36.5,35.8,20.9,2568694,20.5

RSS_YOLO,,2568694,20.5

RSS_YOLO_lamp_pruned_0.50,48.4,38.4,39.3,23.3,1100868,9.3
