model,Precision(%),Recall(%),mAP@0.5(%),mAP@0.5:0.95(%),params,GFLOPs,speed
base,0.533,0.406,0.407,0.174,2583712,6.3
SACSP,0.587,0.427,0.435,0.188,2806160,8.5
SFPN,0.537,0.434,0.431,0.193,2468728,18.4
NBCD,0.543,0.445,0.419,0.169,2583712,6.3 
SNA,0.543,0.415,0.415,0.175,2583712,6.3
ALL,0.62,0.498,0.505,0.204,2691176,20.5



