model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS,preprocess,inference,postprocess,FPS,k230fps
yolov11n,38.8,30.5,28.1,15.7,2584102,6.3,0.2,1.2,1.6,333,9.5
RSSYOLO,46.0,36.4,34.7,20.1,2.57,20.37,0.3,3.5,0.6,227,3.0

RSSYOLO_LITE,46.4,35.5,33.6,19.2,2114442,15.3,0.3,2.4,0.1,357,5.0

RSSYOLO3_LITE_PURNED_1.5,46.1,35.3,34.1,19.6,1220493,10.4,0.2,2.8,0.1,322,6.0
RSSYOLO3_LITE_PURNED_1.7,45.5,35.1,33.6,19.3,1097743,9.0,0.3,2.4,0.1,357,6.8
RSSYOLO3_LITE_PURNED_2.0,45.1,34.6,32.5,18.4,981919,7.6,0.2,2.3,0.1,384,7.5
RSSYOLO3_LITE_PURNED_2.5,42.6,33.9,31.3,17.7,870232,6.2,0.2,1.9,0.1,454,8.8

yolov8n,38.3,29.6,27.1,15.2,2686318,6.8,0.3,1.2,1.8,303
yolov26n,38.8,29.3,27.0,14.9,2376786,5.2,0.2,1.2,0.1,714
yolov11s,45.6,35.0,32.9,19.0,9416670,21.3,0.2,2.1,1.2,312
FBRT-YOLOn,40.6,30.5,28.3,16.3,852320,6.71,0.1,0.6,1.7,416
FBRT-YOLOs,46.0,36.1,34.4,20.1,2894352,22.9,0.2,1.5,1.6,303
YOLO-Mastern,40.5,31.3,29.3,16.7,2653282,8.5,0.2,3.1,0.5,263
YOLO-Masters,46.2,35.5,34.1,20.0,9658442,28.9,0.3,3.7,0.4,227
gold-yolon,39.8,28.9,25.4,14.0,5.61,12.06
